pmid,pub_year,journal,title,reason_code,doi,is_oa,oa_url,oa_host_type,publisher
26542314,2016,Dental traumatology : official publication of International Association for Dental Traumatology,"Dental trauma in showjumping - A trinational study between Switzerland, France and Germany.",R-age,10.1111/edt.12242,False,,,Wiley
26545273,2015,General dentistry,Mandatory mouthguard rules for high school athletes in the United States.,R-data,,,,,
26678302,2015,Swiss dental journal,Prevention of dental accidents in Swiss boxing clubs.,R-age,10.61872/sdj-2015-12-160,True,https://www.swissdentaljournal.org/article/download/prevention-of-dental-accidents-in-swiss-boxing-clubs-160/4135,publisher,SWISS DENTAL JOURNAL SSO
26939219,2015,Odonto-stomatologie tropicale = Tropical dental journal,Prevalence and unmet treatment need of traumatized incisor among Cameroonian schoolchildren in North West Province.,R-data,,,,,
27015854,2016,British journal of sports medicine,Patterns of orodental injury and mouthguard use in Dutch field hockey.,R-age,10.1136/bjsports-2015-095677,False,,,BMJ
27622524,2016,Swiss dental journal,Dental and General Trauma in Team Handball.,R-age,10.61872/sdj-2016-07-08-193,True,https://www.swissdentaljournal.org/article/download/dental-and-general-trauma-in-team-handball-193/4151,publisher,SWISS DENTAL JOURNAL SSO
28160512,2017,Dental traumatology : official publication of International Association for Dental Traumatology,Prevalence of dental trauma and use of mouthguards in professional handball players.,R-age,10.1111/edt.12323,False,,,Wiley
2893649,1987,British journal of sports medicine,Dental and facial injuries in international field hockey.,R-age,10.1136/bjsm.21.4.174,True,https://bjsm.bmj.com/content/bjsports/21/4/174.full.pdf,publisher,BMJ
2907269,1988,The American journal of sports medicine,"Comparison of maxillofacial and dental injuries in four contact team sports: American football, bandy, basketball, and handball.",R-age,10.1177/036354658801600616,False,,,SAGE Publications
30156365,2018,Dental traumatology : official publication of International Association for Dental Traumatology,Risk of orofacial injuries and mouthguard use in water polo players.,R-age,10.1111/edt.12434,False,,,Wiley
30431180,2019,"Special care in dentistry : official publication of the American Association of Hospital Dentists, the Academy of Dentistry for the Handicapped, and the American Society for Geriatric Dentistry",Prevalence of dental trauma in individuals with special needs participating in local Special Olympics games.,R-mixed,10.1111/scd.12343,True,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/scd.12343,publisher,Wiley
31884077,2020,Journal of oral and maxillofacial surgery : official journal of the American Association of Oral and Maxillofacial Surgeons,Characterizing Craniomaxillofacial Injuries in American Professional Sports Leagues.,R-age,10.1016/j.joms.2019.11.031,False,,,Elsevier BV
31994310,2020,Dental traumatology : official publication of International Association for Dental Traumatology,The prevalence of orofacial injuries in judo: A cross-sectional study.,R-age,10.1111/edt.12547,False,,,Wiley
32794620,2021,Dental traumatology : official publication of International Association for Dental Traumatology,Orofacial trauma and mouthguard use in Brazilian rugby union players.,R-age,10.1111/edt.12592,True,https://onlinelibrary.wiley.com/doi/full/10.1111/edt.12592,repository,Wiley
33188561,2021,Dental traumatology : official publication of International Association for Dental Traumatology,Occurrence and patterns of orofacial injury in CrossFit practitioners.,R-age,10.1111/edt.12625,False,,,Wiley
33220143,2021,Dental traumatology : official publication of International Association for Dental Traumatology,Mouthguard use and attitudes regarding dental trauma among elite cross-country mountain biking and field hockey athletes.,R-age,10.1111/edt.12636,False,,,Wiley
34047017,2021,Dental traumatology : official publication of International Association for Dental Traumatology,"Prevalence of orofacial trauma and the attitude towards mouthguard use in handball players: A survey in Lorraine, France.",R-age,10.1111/edt.12688,False,,,Wiley
34343071,2021,Journal (Canadian Dental Association),"Dental Trauma Among Hockey Players: Preventive Measures, Compliance and Injury Types.",R-age,,,,,
36327493,2024,Science & medicine in football,'Benched' the effect of the COVID-19 lockdown on injury incidence in sub-elite football in Australia: a retrospective population study using injury insurance records.,R-age,10.1080/24733938.2022.2143551,False,,,Informa UK Limited
36538371,2023,Acta odontologica Scandinavica,Maxillofacial injuries among ice hockey players: a retrospective study from a Finnish trauma Centre.,R-age,10.1080/00016357.2022.2158127,True,https://doi.org/10.1080/00016357.2022.2158127,publisher,"MJS Publishing, Medical Journals Sweden AB"
36922269,2023,Injury,Prevalence and pattern of traumatic orofacial injuries in Kabaddi players in Delhi-NCR region.,R-age,10.1016/j.injury.2023.02.053,False,,,Elsevier BV
37055924,2024,"Special care in dentistry : official publication of the American Association of Hospital Dentists, the Academy of Dentistry for the Handicapped, and the American Society for Geriatric Dentistry",Sports-related dental injuries and oral health status among Malaysian para-athletes: A cross-sectional study.,R-age,10.1111/scd.12858,False,,,Wiley
37341423,2023,Dental traumatology : official publication of International Association for Dental Traumatology,Knowledge of traumatic dental injuries and mouthguard behavior among Croatian soccer players.,R-age,10.1111/edt.12862,False,,,Wiley
37431232,2023,Dental traumatology : official publication of International Association for Dental Traumatology,"Incidence, characteristics and cost of head, neck and dental injuries in non-professional football (soccer) using 3 years of sports injury insurance data.",R-age,10.1111/edt.12869,True,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/edt.12869,publisher,Wiley
37791703,2023,Irish medical journal,Mouthguards reduce dental injuries and associated costs in Ladies Gaelic football.,R-age,,,,,
38084787,2024,Dental traumatology : official publication of International Association for Dental Traumatology,Use of mouthguards in Latin American field hockey athletes during the ODESUR 2022 Games.,R-age,10.1111/edt.12914,False,,,Wiley
39060115,2025,Injury prevention : journal of the International Society for Child and Adolescent Injury Prevention,Non-reporting of sport-related concussion symptoms: a cross-sectional study of community rugby league players in the UK.,R-age,10.1136/ip-2023-045108,True,https://eprints.leedsbeckett.ac.uk/id/eprint/11117/1/NonreportingOfSportrelatedConcussionSymptomsACrosssectionalStudyOfCommunityRugbyLeaguePlayersInTheUkAM-TADMOR.pdf,repository,BMJ
39630092,2026,Clinical journal of sport medicine : official journal of the Canadian Academy of Sport Medicine,Experience of Orofacial Injuries and Use of Mouthguards - A Survey in German Elite Sport.,R-age,10.1097/JSM.0000000000001302,False,,,Ovid Technologies (Wolters Kluwer Health)
40662680,2025,Swiss dental journal,"From Fitness to Fight: Associations between training motivation and injury prevalence in Muay Thai, K-1 and Kickboxing.",R-age,10.61872/sdj-2025-02-07,True,https://www.swissdentaljournal.org/article/download/9160/7490,publisher,SWISS DENTAL JOURNAL SSO
41087084,2025,Injury prevention : journal of the International Society for Child and Adolescent Injury Prevention,Concussion in Australian community rugby union part 1: a nationwide concussion management procedure.,R-age,10.1136/ip-2024-045543,True,,repository,BMJ
6130812,1982,British journal of sports medicine,Dental injuries and the attitudes of rugby players to mouthguards.,R-age,10.1136/bjsm.16.4.241,True,https://bjsm.bmj.com/content/bjsports/16/4/241.full.pdf,publisher,BMJ
9566015,1998,Pediatric dentistry,Diagnosis and treatment of dental trauma in a children's hospital.,R-data,,,,,
