pmid,pub_year,journal,publication_types,has_abstract,language,title
37341423,2023,Dental traumatology : official publication of International Association for Dental Traumatology,Journal Article,yes,eng,Knowledge of traumatic dental injuries and mouthguard behavior among Croatian soccer players.
37208059,2023,Clinics in sports medicine,Journal Article|Review,yes,eng,Emergency Facial Injuries in Athletics.
37055924,2024,"Special care in dentistry : official publication of the American Association of Hospital Dentists, the Academy of Dentistry for the Handicapped, and the American Society for Geriatric Dentistry",Journal Article,yes,eng,Sports-related dental injuries and oral health status among Malaysian para-athletes: A cross-sectional study.
36929194,2023,Dental traumatology : official publication of International Association for Dental Traumatology,Journal Article,yes,eng,Head injuries caused by contact with teeth during sports and exercise activities in Japanese schools during the period 2012-2018.
36922269,2023,Injury,Journal Article,yes,eng,Prevalence and pattern of traumatic orofacial injuries in Kabaddi players in Delhi-NCR region.
36878220,2023,Sportverletzung Sportschaden : Organ der Gesellschaft fur Orthopadisch-Traumatologische Sportmedizin,English Abstract|Journal Article,yes,ger,[Injuries in the First German Inline Skater Hockey League].
36538371,2023,Acta odontologica Scandinavica,Journal Article,yes,eng,Maxillofacial injuries among ice hockey players: a retrospective study from a Finnish trauma Centre.
36479391,2023,Health science reports,Journal Article,yes,eng,Awareness of sports-related dental emergencies and prevention practices among Libyan contact sports coaches: A cross-sectional study.
36428271,2023,Dental traumatology : official publication of International Association for Dental Traumatology,Journal Article,yes,eng,Quantitative text analysis of the mechanisms of tooth injury: Analysis of accidents in five sports that occurred in 15 years under school control.
36394781,2023,European archives of paediatric dentistry : official journal of the European Academy of Paediatric Dentistry,Observational Study|Journal Article,yes,eng,Assessment of mouthguards worn by Irish children playing contact sports: an observational cross-sectional cohort study.
36327493,2024,Science & medicine in football,Journal Article,yes,eng,'Benched' the effect of the COVID-19 lockdown on injury incidence in sub-elite football in Australia: a retrospective population study using injury insurance records.
36317716,2023,Dental traumatology : official publication of International Association for Dental Traumatology,Journal Article,yes,eng,Traumatic dental injuries in high school athletes in the United States of America from 2005 to 2020.
35802850,2022,Dental traumatology : official publication of International Association for Dental Traumatology,Journal Article,yes,eng,Knowledge about the emergency management of dental injuries among field hockey coaches.
35439876,2022,Journal of the Indian Society of Pedodontics and Preventive Dentistry,Journal Article|Systematic Review,yes,eng,Sports-related facial trauma in the Indian population - A systematic review.
34907662,2022,Clinical and experimental dental research,Journal Article|Review,yes,eng,"Dental and general injuries among ski and snowboard instructors in Switzerland, Germany, and Austria-A questionnaire-based study."
34879017,2022,The Journal of craniofacial surgery,Journal Article,yes,eng,Baseball-Related Craniofacial Injury Among the Youth: A National Electronic Injury Surveillance System Database Study.
34643329,2021,Dental traumatology : official publication of International Association for Dental Traumatology,Journal Article|Observational Study,yes,eng,Cross-sectional cohort study on the use of mouthguards by children playing Gaelic football in Ireland.
34343071,2021,Journal (Canadian Dental Association),Journal Article,yes,eng,"Dental Trauma Among Hockey Players: Preventive Measures, Compliance and Injury Types."
34257165,2021,The journal of contemporary dental practice,Journal Article,yes,eng,Revisiting Sports Dentistry with a Critical Appraisal.
34063591,2021,Dentistry journal,Journal Article|Review,yes,eng,The Impact of Sport Training on Oral Health in Athletes.
34047017,2021,Dental traumatology : official publication of International Association for Dental Traumatology,Journal Article,yes,eng,"Prevalence of orofacial trauma and the attitude towards mouthguard use in handball players: A survey in Lorraine, France."
33848349,2021,Journal of athletic training,Journal Article,yes,eng,Sex-Based Differences in Symptoms With Mouthguard Use After Pediatric Sport-Related Concussion.
33793079,2021,Dental traumatology : official publication of International Association for Dental Traumatology,Journal Article|Meta-Analysis|Systematic Review,yes,eng,Prevalence of orofacial injuries in wheeled non-motor sports athletes: A systematic review and meta-analysis.
33746633,2021,TheScientificWorldJournal,Journal Article,yes,eng,Prevalence and Etiological Factors of Dental Trauma among 12- and 15-Year-Old Schoolchildren of Lebanon: A National Study.
33741876,2021,The Journal of craniofacial surgery,Journal Article,yes,eng,Kick Start to an Epidemiological Report of Soccer-Related Craniofacial Trauma Analysis.
33710063,2021,The Journal of craniofacial surgery,Journal Article,yes,eng,Skating on Thin Ice: Craniofacial Injuries in Amateur Ice Hockey.
33710051,2021,The Journal of craniofacial surgery,Journal Article,yes,eng,Prevalence of Dentofacial Injuries and Concussions Among College Athletes and Their Perceptions of Mouthguards.
33654038,2021,The Journal of craniofacial surgery,Journal Article,yes,eng,Heads Up Play: Acute Assessment and Management of Basketball-Related Craniofacial Injuries by On-Court Personnel.
33377302,2021,Dental traumatology : official publication of International Association for Dental Traumatology,Journal Article,yes,eng,Dental trauma and tongue injuries in professional alpine ski racing-A worldwide survey.
33369093,2021,Dental traumatology : official publication of International Association for Dental Traumatology,Case Reports|Journal Article,yes,eng,Oral management with mouthguards during the mixed dentition period: A case report.
33292522,2020,"BMC sports science, medicine & rehabilitation",Journal Article,yes,eng,"Random forest algorithm to identify factors associated with sports-related dental injuries in 6 to 13-year-old athlete children in Hamadan, Iran-2018 -a cross-sectional study."
33220143,2021,Dental traumatology : official publication of International Association for Dental Traumatology,Journal Article,yes,eng,Mouthguard use and attitudes regarding dental trauma among elite cross-country mountain biking and field hockey athletes.
33188561,2021,Dental traumatology : official publication of International Association for Dental Traumatology,Journal Article,yes,eng,Occurrence and patterns of orofacial injury in CrossFit practitioners.
32854130,2020,Sportverletzung Sportschaden : Organ der Gesellschaft fur Orthopadisch-Traumatologische Sportmedizin,Journal Article,yes,ger,[Injuries in inline skater hockey].
